schlag_nr,endzug_start,auslage,endzug_end,vorrolle_frames,antrieb_frames,dauer_s
414,12437,12455,12467,18,12,1.2000173417267985
415,12467,12486,12498,19,12,1.2400179197843584
416,12498,12514,12526,16,12,1.1200161856116786
417,12526,12544,12555,18,11,1.1600167636692387
418,12555,12573,12584,18,11,1.1600167636692387
419,12584,12602,12613,18,11,1.1600167636692387
420,12613,12632,12643,19,11,1.2000173417267985
421,12643,12662,12673,19,11,1.2000173417267985
422,12673,12691,12702,18,11,1.1600167636692387
423,12702,12721,12732,19,11,1.2000173417267985
424,12732,12751,12762,19,11,1.2000173417267985
425,12762,12781,12792,19,11,1.2000173417267985
426,12792,12811,12822,19,11,1.2000173417267985
427,12822,12841,12852,19,11,1.2000173417267985
428,12852,12870,12881,18,11,1.1600167636692387
429,12881,12899,12911,18,12,1.2000173417267985
430,12911,12928,12940,17,12,1.1600167636692387
431,12940,12958,12970,18,12,1.2000173417267985
432,12970,12988,12999,18,11,1.1600167636692387
433,12999,13017,13028,18,11,1.1600167636692387
434,13028,13046,13058,18,12,1.2000173417267985
435,13058,13076,13088,18,12,1.2000173417267985
436,13088,13106,13118,18,12,1.2000173417267985
437,13118,13136,13148,18,12,1.2000173417267985
438,13148,13167,13178,19,11,1.2000173417267985
439,13178,13196,13207,18,11,1.1600167636692387
440,13207,13226,13237,19,11,1.2000173417267985
441,13237,13256,13267,19,11,1.2000173417267985
442,13267,13286,13298,19,12,1.2400179197843584
443,13298,13317,13328,19,11,1.2000173417267985
444,13328,13348,13359,20,11,1.2400179197843584
445,13359,13379,13390,20,11,1.2400179197843584
446,13390,13408,13419,18,11,1.1600167636692387
447,13419,13437,13448,18,11,1.1600167636692387
448,13448,13466,13477,18,11,1.1600167636692387
449,13477,13496,13507,19,11,1.2000173417267985
450,13507,13527,13538,20,11,1.2400179197843584
451,13538,13557,13568,19,11,1.2000173417267985
452,13568,13587,13598,19,11,1.2000173417267985
453,13598,13617,13629,19,12,1.2400179197843584
454,13629,13647,13659,18,12,1.2000173417267985
455,13659,13677,13688,18,11,1.1600167636692387
456,13688,13707,13718,19,11,1.2000173417267985
457,13718,13738,13749,20,11,1.2400179197843584
458,13749,13769,13780,20,11,1.2400179197843584
459,13780,13799,13810,19,11,1.2000173417267985
460,13810,13830,13841,20,11,1.2400179197843584
461,13841,13860,13871,19,11,1.2000173417267985
462,13871,13891,13902,20,11,1.2400179197843584
463,13902,13921,13933,19,12,1.2400179197843584
464,13933,13952,13963,19,11,1.2000173417267985
465,13963,13983,13994,20,11,1.2400179197843584
466,13994,14012,14023,18,11,1.1600167636692387
467,14023,14042,14053,19,11,1.2000173417267985
468,14053,14072,14083,19,11,1.2000173417267985
469,14083,14100,14111,17,11,1.1200161856116786
470,14111,14129,14141,18,12,1.2000173417267985
471,14141,14159,14171,18,12,1.2000173417267985
472,14171,14190,14201,19,11,1.2000173417267985
473,14201,14220,14231,19,11,1.2000173417267985
474,14231,14251,14262,20,11,1.2400179197843584
475,14262,14282,14293,20,11,1.2400179197843584
476,14293,14312,14323,19,11,1.2000173417267985
477,14323,14342,14353,19,11,1.2000173417267985
478,14353,14371,14383,18,12,1.2000173417267985
479,14383,14401,14412,18,11,1.1600167636692387
480,14412,14430,14441,18,11,1.1600167636692387
481,14441,14461,14472,20,11,1.2400179197843584
482,14472,14492,14503,20,11,1.2400179197843584
483,14503,14523,14534,20,11,1.2400179197843584
484,14534,14553,14565,19,12,1.2400179197843584
485,14565,14583,14594,18,11,1.1600167636692387
486,14594,14614,14625,20,11,1.2400179197843584
487,14625,14644,14655,19,11,1.2000173417267985
488,14655,14675,14686,20,11,1.2400179197843584
489,14686,14704,14715,18,11,1.1600167636692387
490,14715,14734,14745,19,11,1.2000173417267985
491,14745,14764,14776,19,12,1.2400179197843584
492,14776,14794,14806,18,12,1.2000173417267985
493,14806,14824,14835,18,11,1.1600167636692387
494,14835,14854,14865,19,11,1.2000173417267985
495,14865,14884,14895,19,11,1.2000173417267985
496,14895,14914,14925,19,11,1.2000173417267985
497,14925,14944,14956,19,12,1.2400179197843584
498,14956,14975,14986,19,11,1.2000173417267985
499,14986,15004,15015,18,11,1.1600167636692387
500,15015,15034,15045,19,11,1.2000173417267985
501,15045,15065,15076,20,11,1.2400179197843584
502,15076,15094,15105,18,11,1.1600167636692387
503,15105,15123,15135,18,12,1.2000173417267985
504,15135,15153,15164,18,11,1.1600167636692387
505,15164,15182,15193,18,11,1.1600167636692387
506,15193,15211,15223,18,12,1.2000173417267985
507,15223,15241,15253,18,12,1.2000173417267985
508,15253,15270,15281,17,11,1.1200161856116786
509,15281,15301,15312,20,11,1.2400179197843584
510,15312,15331,15343,19,12,1.2400179197843584
511,15343,15362,15373,19,11,1.2000173417267985
512,15373,15392,15403,19,11,1.2000173417267985
513,15403,15422,15433,19,11,1.2000173417267985
514,15433,15452,15463,19,11,1.2000173417267985
515,15463,15482,15493,19,11,1.2000173417267985
516,15493,15511,15522,18,11,1.1600167636692387
517,15522,15541,15552,19,11,1.2000173417267985
518,15552,15571,15582,19,11,1.2000173417267985
519,15582,15602,15613,20,11,1.2400179197843584
520,15613,15632,15644,19,12,1.2400179197843584
521,15644,15662,15673,18,11,1.1600167636692387
522,15673,15692,15703,19,11,1.2000173417267985
523,15703,15723,15734,20,11,1.2400179197843584
524,15734,15753,15764,19,11,1.2000173417267985
525,15764,15783,15794,19,11,1.2000173417267985
526,15794,15813,15824,19,11,1.2000173417267985
527,15824,15843,15853,19,10,1.1600167636692387
528,15853,15871,15882,18,11,1.1600167636692387
529,15882,15901,15913,19,12,1.2400179197843584
530,15913,15931,15942,18,11,1.1600167636692387
531,15942,15961,15972,19,11,1.2000173417267985
532,15972,15992,16003,20,11,1.2400179197843584
533,16003,16022,16033,19,11,1.2000173417267985
534,16033,16052,16063,19,11,1.2000173417267985
535,16063,16082,16093,19,11,1.2000173417267985
536,16093,16112,16123,19,11,1.2000173417267985
537,16123,16142,16154,19,12,1.2400179197843584
538,16154,16172,16183,18,11,1.1600167636692387
539,16183,16201,16213,18,12,1.2000173417267985
540,16213,16231,16243,18,12,1.2000173417267985
541,16243,16261,16272,18,11,1.1600167636692387
542,16272,16290,16301,18,11,1.1600167636692387
543,16301,16319,16330,18,11,1.1600167636692387
544,16330,16349,16360,19,11,1.2000173417267985
545,16360,16379,16390,19,11,1.2000173417267985
546,16390,16410,16421,20,11,1.2400179197843584
547,16421,16439,16451,18,12,1.2000173417267985
548,16451,16468,16479,17,11,1.1200161856116786
549,16479,16498,16510,19,12,1.2400179197843584
550,16510,16528,16540,18,12,1.2000173417267985
551,16540,16559,16570,19,11,1.2000173417267985
552,16570,16589,16601,19,12,1.2400179197843584
553,16601,16620,16631,19,11,1.2000173417267985
554,16631,16650,16661,19,11,1.2000173417267985
555,16661,16679,16691,18,12,1.2000173417267985
556,16691,16707,16719,16,12,1.1200161856116786
557,16719,16737,16748,18,11,1.1600167636692387
558,16748,16767,16778,19,11,1.2000173417267985
559,16778,16798,16809,20,11,1.2400179197843584
560,16809,16829,16840,20,11,1.2400179197843584
561,16840,16859,16871,19,12,1.2400179197843584
562,16871,16889,16901,18,12,1.2000173417267985
563,16901,16920,16932,19,12,1.2400179197843584
564,16932,16951,16962,19,11,1.2000173417267985
565,16962,16981,16993,19,12,1.2400179197843584
566,16993,17012,17024,19,12,1.2400179197843584
567,17024,17043,17055,19,12,1.2400179197843584
568,17055,17074,17085,19,11,1.2000173417267985
569,17085,17104,17115,19,11,1.2000173417267985
570,17115,17135,17146,20,11,1.2400179197843584
571,17146,17164,17175,18,11,1.1600167636692387
572,17175,17193,17205,18,12,1.2000173417267985
573,17205,17223,17235,18,12,1.2000173417267985
574,17235,17253,17264,18,11,1.1600167636692387
575,17264,17283,17294,19,11,1.2000173417267985
576,17294,17311,17322,17,11,1.1200161856116786
577,17322,17340,17351,18,11,1.1600167636692387
578,17351,17370,17381,19,11,1.2000173417267985
579,17381,17400,17411,19,11,1.2000173417267985
580,17411,17428,17440,17,12,1.1600167636692387
581,17440,17458,17469,18,11,1.1600167636692387
582,17469,17488,17500,19,12,1.2400179197843584
583,17500,17519,17530,19,11,1.2000173417267985
584,17530,17550,17561,20,11,1.2400179197843584
585,17561,17580,17592,19,12,1.2400179197843584
586,17592,17611,17623,19,12,1.2400179197843584
587,17623,17642,17653,19,11,1.2000173417267985
588,17653,17671,17683,18,12,1.2000173417267985
589,17683,17700,17712,17,12,1.1600167636692387
590,17712,17730,17742,18,12,1.2000173417267985
